Year,Author(s),Hugo,Novelette,Publisher or publication,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf
1993.0,Janet Kagan,Winner,The Nutcracker Coup,Asimov's Science Fiction,,,,,
1993.0,Barry N. Malzberg,,In the Stone House,Alternate Kennedys (Tor Books),,,,,
1992.0,Ted Chiang,,Understand,Asimov's Science Fiction,Read,,,,
1992.0,Pat Cadigan,,Dispatches from the Revolution,Asimov's Science Fiction,,,,,
1992.0,Isaac Asimov,Winner,Gold,Analog Science Fact & Fiction,,,,,
1992.0,Howard Waldrop,,Fin de Cyclé,Night of the Cooters: More Neat Stories (Mark V. Ziesing),,,,,
1992.0,Connie Willis,,Miracle,Asimov's Science Fiction,,,,,
1991.0,Ted Chiang,,Tower of Babylon,Omni,In the queue,,,,
1991.0,Mike Resnick,Winner,The Manamouki,Asimov's Science Fiction,,,,,
1991.0,Martha Soukup,,Over the Long Haul,Amazing Stories,,,,,
1991.0,Dafydd ab Hugh,,"The Coon Rolled Down and Ruptured His Larinks, A Squeezed Novel by Mr. Skunk",Asimov's Science Fiction,,,,,
1991.0,Charles Sheffield,,A Braver Thing,Asimov's Science Fiction,,,,,
1990.0,Robert Silverberg,Winner,Enter a Soldier. Later: Enter Another,Asimov's Science Fiction,,,,,
1990.0,Orson Scott Card,,Dogwalker,Asimov's Science Fiction,,,,,
1990.0,Nancy Kress,,The Price of Oranges,Asimov's Science Fiction,,,,,
1990.0,Mike Resnick,,For I Have Touched the Sky,Fantasy & Science Fiction,,,,,
1990.0,George Alec Effinger,,Everything But Honor,Asimov's Science Fiction,,,,,
1990.0,Connie Willis,,At the Rialto,Omni,,,,,
1989.0,Steven Gould,,Peaches for Mad Molly,Analog Science Fact & Fiction,,,,,
1989.0,"Neal Barrett, Jr.",,Ginny Sweethips' Flying Circus,Asimov's Science Fiction,,,,,
1989.0,Howard Waldrop,,"Do Ya, Do Ya, Wanna Dance?",Asimov's Science Fiction,,,,,
1989.0,Harlan Ellison,,The Function of Dream Sleep,Midnight Graffiti,,,,,
1989.0,George Alec Effinger,Winner,Schrödinger's Kitten,Omni,,,,,
1988.0,Walter Jon Williams,,Dinosaurs,Asimov's Science Fiction,,,,,
1988.0,Ursula K. Le Guin,Winner,"Buffalo Gals, Won't You Come Out Tonight",Fantasy & Science Fiction,,,,,
1988.0,Pat Murphy,,Rachel in Love,Asimov's Science Fiction,,,,,
1988.0,Bruce Sterling,,Flowers of Edo,Asimov's Science Fiction,,,,,
1988.0,Bruce McAllister,,Dream Baby,Asimov's Science Fiction,,,,,
1987.0,William Gibson,,The Winter Market,Stardate,,,,,
1987.0,Vernor Vinge,,The Barbarian Princess,Analog Science Fact & Fiction,,,,,
1987.0,Roger Zelazny,Winner,Permafrost,Omni,,,,,
1987.0,Orson Scott Card,,Hatrack River,Asimov's Science Fiction,,,,,
1987.0,David Brin,,Thor Meets Captain America,The Magazine of Fantasy & Science Fiction,,,,,
1986.0,Orson Scott Card,,The Fringe,The Magazine of Fantasy & Science Fiction,,,,,
1986.0,Michael Swanwick/William Gibson,,Dogfight,Omni,,,,,
1986.0,Michael Bishop,,A Gift from the GrayLanders,Asimov's Science Fiction,,,,,
1986.0,Harlan Ellison,Winner,Paladin of the Lost Hour,Universe #15 (Bantam Spectra),,,,,
1986.0,George R. R. Martin,,Portraits of His Children,Asimov's Science Fiction,,,,,
1985.0,Timothy Zahn,,Return to the Fold,Analog Science Fact & Fiction,,,,,
1985.0,Octavia E. Butler,Winner,Bloodchild,Asimov's Science Fiction,,,,,
1985.0,Lucius Shepard,,The Man Who Painted the Dragon Griaule,The Magazine of Fantasy & Science Fiction,,,,,
1985.0,Kim Stanley Robinson,,The Lucky Strike,Universe #14 (Bantam Spectra),,,,,
1985.0,Hilbert Schenck,,Silicon Muse,Analog Science Fact & Fiction,,,,,
1985.0,Eric Vinicoff,,The Weigher,Analog Science Fact & Fiction,,,,,
1985.0,Connie Willis,,Blued Moon,Asimov's Science Fiction,,,,,
1984.0,Kim Stanley Robinson,,Black Air,The Magazine of Fantasy & Science Fiction,,,,,
1984.0,Ian Watson,,Slow Birds,The Magazine of Fantasy & Science Fiction,,,,,
1984.0,Greg Bear,Winner,Blood Music,Analog Science Fact & Fiction,,,,,
1984.0,George R. R. Martin,,The Monkey Treatment,The Magazine of Fantasy & Science Fiction,,,,,
1984.0,Connie Willis,,The Sidon in the Mirror,Asimov's Science Fiction,,,,,
1983.0,Timothy Zahn,,Pawn's Gambit,Analog Science Fact & Fiction,,,,,
1983.0,S. P. Somtow,,Aquila,Asimov's Science Fiction,,,,,
1983.0,Phyllis Eisenstein,,Nightlife,The Magazine of Fantasy & Science Fiction,,,,,
1983.0,Connie Willis,Winner,Fire Watch,Asimov's Science Fiction,,,,,
1983.0,Bruce Sterling,,Swarm,The Magazine of Fantasy & Science Fiction,,,,,
1982.0,Roger Zelazny,Winner,Unicorn Variation,Asimov's Science Fiction,,,,,
1982.0,Parke Godwin,,The Fire When It Comes,The Magazine of Fantasy & Science Fiction,,,,,
1982.0,Michael Bishop,,The Quickening,Universe #11 (Bantam Spectra),,,,,
1982.0,George R. R. Martin,,Guardians,Analog Science Fact & Fiction,,,,,
1982.0,Edward Bryant,,The Thermals of August,The Magazine of Fantasy & Science Fiction,,,,,
1981.0,Michael Shea,,The Autopsy,The Magazine of Fantasy & Science Fiction,,,,,
1981.0,Keith Roberts,,The Lordly Ones,The Magazine of Fantasy & Science Fiction,,,,,
1981.0,John Varley,,Beatnik Bayou,New Voices #3: The Campbell Award Nominees (Berkley Books),,,,,
1981.0,Howard Waldrop,,The Ugly Chickens,Universe #10 (Bantam Spectra),,,,,
1981.0,Gordon R. Dickson,Winner,The Cloak and the Staff,Analog Science Fact & Fiction,,,,,
1981.0,Barry B. Longyear,,Savage Planet,Analog Science Fact & Fiction,,,,,
1980.0,Vonda N. McIntyre,,Fireflood,The Magazine of Fantasy & Science Fiction,,,,,
1980.0,Larry Niven,,The Locusts,Analog Science Fact & Fiction,,,,,
1980.0,John Varley,,Options,Universe #9 (Bantam Spectra),,,,,
1980.0,George R. R. Martin,Winner,Sandkings,Omni,,,,,
1980.0,Christopher Priest,,Palely Loitering,The Magazine of Fantasy & Science Fiction,,,,,
1980.0,Barry B. Longyear,,Homecoming,Asimov's Science Fiction,,,,,
1979.0,Thomas Disch,,The Man Who Had No Idea,The Magazine of Fantasy & Science Fiction,,,,,
1979.0,Poul Anderson,Winner,Hunter's Moon,Analog Science Fact & Fiction,,,,,
1979.0,Orson Scott Card,,Mikal's Songbird,Analog Science Fact & Fiction,,,,,
1979.0,John Varley,,The Barbie Murders,Asimov's Science Fiction,,,,,
1979.0,Dean Ing,,Devil You Don't Know,Analog Science Fact & Fiction,,,,,
1978.0,Samuel R. Delany,,Prismatica,The Magazine of Fantasy & Science Fiction,,,,,
1978.0,Orson Scott Card,,Ender's Game,Analog Science Fact & Fiction,Read,Read,,,
1978.0,Joan D. Vinge,Winner,Eyes of Amber,Analog Science Fact & Fiction,,,,,
1978.0,"James Tiptree, Jr.",,The Screwfly Solution,Analog Science Fact & Fiction,,,,,
1978.0,Carter Scholz,,The Ninth Symphony of Ludwig van Beethoven and Other Lost Songs,Universe #7 (Bantam Spectra),,,,,
1977.0,Ursula K. Le Guin,,The Diary of the Rose,Future Power (Random House),,,,,
1977.0,John Varley,,"Gotta Sing, Gotta Dance",Galaxy Science Fiction,,,,,
1977.0,John Varley,,The Phantom of Kansas,Galaxy Science Fiction,,,,,
1977.0,Isaac Asimov,Winner,The Bicentennial Man,Stellar #2 (Ballantine Books),,,,,
1976.0,Ursula K. Le Guin,,The New Atlantis,The New Atlantis (Warner Books),,,,,
1976.0,Tom Reamy,,San Diego Lightfoot Sue,The Magazine of Fantasy & Science Fiction,,,,,
1976.0,Larry Niven,Winner,The Borderland of Sol,Analog Science Fact & Fiction,,,,,
1976.0,Jerry Pournelle,,Tinker,Galaxy Science Fiction,,,,,
1976.0,George R. R. Martin,,And Seven Times Never Kill Man,Analog Science Fact & Fiction,,,,,
1975.0,William Walling,,Nix Olympica,Analog Science Fact & Fiction,,,,,
1975.0,Richard A. Lupoff,,After the Dreamtime,New Dimensions #4 (Doubleday),,,,,
1975.0,Kate Wilhelm,,"A Brother to Dragons, a Companion of Owls",Orbit #14 (G. P. Putnam's Sons),,,,,
1975.0,Jerry Pournelle,,Extreme Prejudice,Analog Science Fact & Fiction,,,,,
1975.0,Isaac Asimov,,—That Thou art Mindful of Him,The Magazine of Fantasy & Science Fiction,,,,,
1975.0,Harlan Ellison,Winner,"Adrift Just Off the Islets of Langerhans: Latitude 38° 54' N, Longitude 77° 00' 13 W""",The Magazine of Fantasy & Science Fiction,,,,,
1975.0,Fritz Leiber,,Midnight by the Morphy Watch,If,,,,,
1974.0,Vonda N. McIntyre,,"Of Mist, and Grass, and Sand",Analog Science Fact & Fiction,,,,,
1974.0,Jerry Pournelle,,He Fell into a Dark Hole,Analog Science Fact & Fiction,,,,,
1974.0,"James Tiptree, Jr.",,Love Is the Plan the Plan Is Death,The Alien Condition (Ballantine Books),,,,,
1974.0,Harlan Ellison,Winner,The Deathbird,The Magazine of Fantasy & Science Fiction,,,,,
1974.0,George Alec Effinger,,The City on the Sand,The Magazine of Fantasy & Science Fiction,,,,,
1973.0,William Rotsler,,Patron of the Arts,Universe #2 (Bantam Spectra),,,,,
1973.0,Poul Anderson,Winner,Goat Song,The Magazine of Fantasy & Science Fiction,,,,,
1973.0,"James Tiptree, Jr.",,Painwise,The Magazine of Fantasy & Science Fiction,,,,,
1973.0,Harlan Ellison,,Basilisk,The Magazine of Fantasy & Science Fiction,,,,,
1973.0,Gardner Dozois,,A Kingdom by the Sea,Orbit #10 (G. P. Putnam's Sons),,,,,
1969.0,Richard Wilson,,Mother to the World,Orbit #3 (G. P. Putnam's Sons),,,,,
1969.0,Poul Anderson,Winner,The Sharing of Flesh,Galaxy Science Fiction,,,,,
1969.0,Piers Anthony,,Getting Through University,If,,,,,
1969.0,Brian Aldiss,,Total Environment,Galaxy Science Fiction,,,,,
1968.0,Philip K. Dick,,Faith of Our Fathers,Dangerous Visions (Doubleday),,,,,
1968.0,Harlan Ellison,,Pretty Maggie Moneyeyes,Knight,,,,,
1968.0,Fritz Leiber,Winner,Gonna Roll the Bones,Dangerous Visions (Doubleday),,,,,
1968.0,Andre Norton,,Wizard's World,If,,,,,
1967.0,Thomas Burnett Swann,,The Manor of Roses,The Magazine of Fantasy & Science Fiction,,,,,
1967.0,Roger Zelazny,,For a Breath I Tarry,Fantastic,,,,,
1967.0,Roger Zelazny,,This Moment of the Storm,The Magazine of Fantasy & Science Fiction,,,,,
1967.0,"Robert M., Green, Jr.",,Apology to Inky,The Magazine of Fantasy & Science Fiction,,,,,
1967.0,Jack Vance,Winner,The Last Castle,Galaxy Science Fiction,,,,,
1967.0,Hayden Howard,,The Eskimo Invasion,Galaxy Science Fiction,,,,,
1967.0,Gordon R. Dickson,,Call Him Lord,Analog Science Fact & Fiction,,,,,
1967.0,Charles L. Harness,,The Alchemist,Analog Science Fact & Fiction,Read,,,,
1967.0,Charles L. Harness,,An Ornament to His Profession,Analog Science Fact & Fiction,,,,,
1959.0,Zenna Henderson,,Captivity,The Magazine of Fantasy & Science Fiction,,,,,
1959.0,Rog Phillips,,Rat in the Skull,If,,,,,
1959.0,Pauline Ashwell,,Unwillingly to School,Astounding Science-Fiction,,,,,
1959.0,Katherine MacLean,,Second Game,Astounding Science-Fiction,,,,,
1959.0,Jack Vance,,The Miracle-Workers,Astounding Science-Fiction,,,,,
1959.0,Fritz Leiber,,A Deskful of Girls,The Magazine of Fantasy & Science Fiction,,,,,
1959.0,Clifford D. Simak,Winner,The Big Front Yard,Astounding Science-Fiction,,,,,
1959.0,C.M. Kornbluth,,"Reap the Dark Tide (aka: ""Shark Ship"")",Vanguard,,,,,
1956.0,Theodore Sturgeon,,Who?,Galaxy Science Fiction,,,,,
1956.0,Murray Leinster,Winner,Exploration Team,Astounding Science-Fiction,,,,,
1956.0,L. Sprague de Camp,,A Gun for Dinosaur,Galaxy Science Fiction,,,,,
1956.0,Henry Kuttner/C. L. Moore,,Home There's No Returning,No Boundaries (Ballantine Books),,,,,
1956.0,F. L. Wallace,,The Assistant Self,Fantastic Universe,,,,,
1956.0,Eric Frank Russell,,Legwork,Astounding Science-Fiction,,,,,
1956.0,Algis Budrys,,The End of Summer,Astounding Science-Fiction,,,,,
1956.0,Alan Nourse,,Brightside Crossing,Galaxy Science Fiction,,,,,
1955.0,"Walter M. Miller, Jr.",Winner,The Darfsteller,Astounding Science-Fiction,,,,,
1954.0,Theodore Cogswell,,The Wall Around the World,Beyond Fantasy Fiction,,,,,
1954.0,Poul Anderson,,The Adventure of the Misplaced Hound,Universe,,,,,
1954.0,Poul Anderson,,Sam Hall,Astounding Science-Fiction,,,,,
1954.0,Philip K. Dick,,Second Variety,Space Science Fiction,,,,,
1954.0,James Blish,Winner,"Earthman, Come Home",Astounding Science-Fiction,,,,,
1951.0,Poul Anderson,,The Helping Hand,Astounding Science-Fiction,,,,,
1951.0,James Blish,,Okie,Astounding Science-Fiction,,,,,
1951.0,Eric Frank Russell,,Dear Devil,Other Worlds,,,,,
1951.0,Cyril M. Kornbluth,Winner,The Little Black Bag,Astounding Science-Fiction,,,,,
1951.0,Cordwainer Smith,,Scanners Live in Vain,Fantasy Book,,,,,
1946.0,Murray Leinster,Winner,First Contact,Astounding Science-Fiction,,,,,
1946.0,Lewis Padgett,,The Piper's Son,Astounding Science-Fiction,,,,,
1946.0,Lester del Rey,,Into Thy Hands,Astounding Science-Fiction,,,,,
1946.0,Fredric Brown,,Pi in the Sky,Thrilling Wonder Stories,,,,,
1946.0,A. E. van Vogt,,The Mixed Men,Astounding Science-Fiction,,,,,
1945.0,Isaac Asimov,,"The Big and the Little (""The Merchant Princes"")",Astounding Science-Fiction,,,,,
1945.0,Fredric Brown,,Arena,Astounding Science-Fiction,,,,,
1945.0,Clifford D. Simak,Winner,City,Astounding Science-Fiction,,,,,
1945.0,C. L. Moore/Henry Kuttner (as Lewis Padgett),,When the Bough Breaks,Astounding Science-Fiction,,,,,
1945.0,C. L. Moore/Henry Kuttner (as Lawrence O'Donnell),,The Children's Hour,Astounding Science-Fiction,,,,,
1945.0,C. L. Moore,,No Woman Born,Astounding Science-Fiction,,,,,
1944.0,Leigh Brackett,,Citadel of Lost Ships,Planet Stories,,,,,
1944.0,Leigh Brackett,,The Halfling,Astonishing Stories,,,,,
1944.0,Henry Kuttner (as Lewis Padgett),,The Proud Robot,Astounding Science-Fiction,,,,,
1944.0,Henry Kuttner,,Winner (as Lewis Padgett),,,,,,
1944.0,Fritz Leiber,,Thieves' House,Unknown Worlds,,,,,
1944.0,Eric Frank Russell,,Symbiotica,Astounding Science-Fiction,,,,,
1944.0,C. L. Moore,Winner (as Lewis Padgett),Mimsy Were the Borogoves,Astounding Science-Fiction,,,,,
1943.0,Robert A. Heinlein (as Anson MacDonald),,Goldfish Bowl,Astounding Science Fiction,,,,,
1943.0,Isaac Asimov,Winner,"Foundation (aka ""The Encyclopedists"")",Astounding Science Fiction,,,,,
1943.0,Isaac Asimov,,"Bridle and Saddle (aka ""The Mayors"")",Astounding Science Fiction,,,,,
1943.0,Fredric Brown,,The Star Mouse,Planet Stories,,,,,
1943.0,C. L. Moore,,There Shall Be Darkness,Astounding Science Fiction,,,,,
1943.0,A. E. van Vogt,,The Weapon Shop,Astounding Science Fiction,,,,,
1941.0,Theodore Sturgeon,,It!,Unknown,,,,,
1941.0,Robert A. Heinlein,Winner,The Roads Must Roll,Astounding Science Fiction,,,,,
1941.0,Robert A. Heinlein,,Blowups Happen,Astounding Science Fiction,,,,,
1941.0,Jack Williamson,,Darker Than You Think,Unknown,,,,,
1941.0,Harry Bates,,Farewell to the Master,Astounding Science Fiction,,,,,
1939.0,Robert E. Howard,,Pigeons from Hell,Weird Tales,,,,,
1939.0,John W. Campbell,,Dead Knowledge,Astounding Stories,,,,,
1939.0,Henry Kuttner,,Hollywood on the Moon,Thrilling Wonder Stories,,,,,
1939.0,Clifford D. Simak,Winner,Rule 18,Astounding Science-Fiction,,,,,
1939.0,C. L. Moore,,Werewoman,Leaves,,,,,
