Year,Author(s),Hugo,Novel,Publisher,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf,Series,Nika Shelf,Westdac,Westdac Date Read,Westdac Rating,Westdac Shelf
1994.0,G. David Nordley,,Into the Miranda Rift,Analog Science Fiction and Fact,,,,,,,,,,,
1994.0,Jack Cady,,The Night We Buried Road Dog,Fantasy & Science Fiction,,,,,,,,,,,
1994.0,Pat Murphy,,An American Childhood,Asimov's Science Fiction,,,,,,,,,,,
1994.0,Harlan Ellison,,Mefisto In Onyx,Omni,,,,,,,,,,,
1993.0,Lucius Shepard,Winner,Barnacle Bill the Spacer,Asimov's Science Fiction,,,,,,,,,,,
1993.0,Frederik Pohl,,Stopping at Slowyear,Bantam Spectra,,,,,,,,,,,
1993.0,Maureen F. McHugh,,Protection,Asimov's Science Fiction,,,,,,,,,,,
1993.0,Jonathan Carroll,,Uh-Oh City,Fantasy & Science Fiction,,,,,,,,,,,
1993.0,Bradley Denton,,The Territory,Fantasy & Science Fiction,,,,,,,,,,,
1992.0,Nancy Kress,Winner,Beggars in Spain,Asimov's Science Fiction,,,,,,,,,,,
1992.0,Kristine Kathryn Rusch,,The Gallery of His Dreams,Asimov's Science Fiction,,,,,,,,,,,
1992.0,Connie Willis,,Jack,Asimov's Science Fiction,,,,,,,,,,,
1992.0,Michael Swanwick,,Griffin's Egg,St. Martin's Press,,,,,,,,,,,
1992.0,Nancy Kress,,And Wild for to Hold,Asimov's Science Fiction,,,,,,,,,,,
1991.0,Joe Haldeman,Winner,The Hemingway Hoax,Asimov's Science Fiction,,,,,,,,,,,
1991.0,Mike Resnick,,Bully!,Asimov's Science Fiction,,,,,,,,,,,
1991.0,Kim Stanley Robinson,,"A Short, Sharp Shock",Asimov's Science Fiction,,,,,,,,,,,
1991.0,Pat Murphy,,Bones,Asimov's Science Fiction,,,,,,,,,,,
1991.0,Pat Cadigan,,Fool to Believe,Asimov's Science Fiction,,,,,,,,,,,
1990.0,Lois McMaster Bujold,Winner,The Mountains of Mourning,Analog Science Fact & Fiction,,,,,,,,,,,
1990.0,Lucius Shepard,,The Father of Stones,Asimov's Science Fiction,,,,,,,,,,,
1990.0,Megan Lindholm,,A Touch of Lavender,Asimov's Science Fiction,,,,,,,,,,,
1990.0,Connie Willis,,Time-Out,Asimov's Science Fiction,,,,,,,,,,,
1990.0,Judith Moffett,,Tiny Tango,Asimov's Science Fiction,,,,,,,,,,,
1989.0,Connie Willis,Winner,The Last of the Winnebagos,Asimov's Science Fiction,,,,,,,,,,,
1989.0,Lucius Shepard,,The Scalehunter's Beautiful Daughter,Asimov's Science Fiction,,,,,,,,,,,
1989.0,Norman Spinrad,,Journals of the Plague Years,Full Spectrum (Doubleday),,,,,,,,,,,
1989.0,Bradley Denton,,The Calvin Coolidge Home for Dead Comedians,Fantasy & Science Fiction,,,,,,,,,,,
1989.0,Walter Jon Williams,,Surfacing,Asimov's Science Fiction,,,,,,,,,,,
1988.0,Orson Scott Card,Winner,Eye for Eye,Asimov's Science Fiction,,,,,,,,,,,
1988.0,Robert Silverberg,,The Secret Sharer,Asimov's Science Fiction,,,,,,,,,,,
1988.0,Kim Stanley Robinson,,The Blind Geometer,Asimov's Science Fiction,,,,,,,,,,,
1988.0,Kim Stanley Robinson,,Mother Goddess of the World,Asimov's Science Fiction,,,,,,,,,,,
1988.0,Michael F. Flynn,,The Forest of Time,Analog Science Fact & Fiction,,,,,,,,,,,
1987.0,Robert Silverberg,Winner,Gilgamesh in the Outback,Asimov's Science Fiction,,,,,,,,,,,
1987.0,Kim Stanley Robinson,,Escape from Kathmandu,Asimov's Science Fiction,,,,,,,,,,,
1987.0,Lucius Shepard,,R&R,Asimov's Science Fiction,,,,,,,,,,,
1987.0,Connie Willis,,Spice Pogrom,Asimov's Science Fiction,,,,,,,,,,,
1987.0,Michael F. Flynn,,Eifelheim,Analog Science Fact & Fiction,,,,,,,,,,,
1986.0,Roger Zelazny,Winner,"24 Views of Mt. Fuji, by Hokusai",Asimov's Science Fiction,,,,,,,,,,,
1986.0,Robert Silverberg,,Sailing to Byzantium,Asimov's Science Fiction,,,,,,,,,,,
1986.0,"James Tiptree, Jr.",,The Only Neat Thing to Do,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1986.0,Kim Stanley Robinson,,Green Mars,Asimov's Science Fiction,,,,,,,,,,,
1986.0,C. J. Cherryh,,The Scapegoat,Alien Stars (Baen Books),,,,,,,,,,,
1985.0,John Varley,Winner,Press Enter,Asimov's Science Fiction,,,,,,,,,,,
1985.0,David Brin,,Cyclops,Asimov's Science Fiction,,,,,,,,,,,
1985.0,Joseph H. Delaney/Marc Stiegler,,Valentina,Analog Science Fact & Fiction,,,,,,,,,,,
1985.0,Charles L. Harness,,Summer Solstice,Analog Science Fact & Fiction,,,,,,,,,,,
1985.0,Geoffrey A. Landis,,Elemental,Analog Science Fact & Fiction,,,,,,,,,,,
1984.0,Timothy Zahn,Winner,Cascade Point,Analog Science Fact & Fiction,,,,,,,,,,,
1984.0,Greg Bear,,Hardfought,Asimov's Science Fiction,,,,,,,,,,,
1984.0,Joseph H. Delaney,,In the Face of My Enemy,Analog Science Fact & Fiction,,,,,,,,,,,
1984.0,David R. Palmer,,Seeking,Analog Science Fact & Fiction,,,,,,,,,,,
1984.0,Hilbert Schenck,,Hurricane Claude,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1983.0,Joanna Russ,Winner,Souls,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1983.0,David Brin,,The Postman,Asimov's Science Fiction,,,,,,,,,,,
1983.0,George R. R. Martin,,Unsound Variations,Amazing Stories,,,,,,,,,,,
1983.0,Joseph H. Delaney,,Brainchild,Analog Science Fact & Fiction,,,,,,,,,,,
1983.0,Kim Stanley Robinson,,To Leave a Mark,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1983.0,John Kessel,,Another Orphan,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1982.0,Poul Anderson,Winner,The Saturn Game,Analog Science Fact & Fiction,,,,,,,,,,,
1982.0,Phyllis Eisenstein,,In the Western Tradition,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1982.0,John Varley,,Blue Champagne,New Voices #4 (Berkley Books),,,,,,,,,,,
1982.0,Kate Wilhelm,,"With Thimbles, With Forks and Hope",Asimov's Science Fiction,,,,,,,,,,,
1982.0,Vernor Vinge,,True Names,Binary Star #5 (Dell Publishing),,,,,,,,,,,
1982.0,David R. Palmer,,Emergence,Analog Science Fact & Fiction,,,,,,,,,,,
1981.0,Gordon R. Dickson,Winner,Lost Dorsai,Destinies #2 (Ace Books),,,,,,,,,,,
1981.0,George R. R. Martin/Lisa Tuttle,,One-Wing,Analog Science Fact & Fiction,,,,,,,,,,,
1981.0,George R. R. Martin,,Nightflyers,Analog Science Fact & Fiction,,,,,,,,,,,
1981.0,Thomas M. Disch,,The Brave Little Toaster,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1981.0,Harlan Ellison,,All the Lies that Are My Life,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1980.0,Barry B. Longyear,Winner,Enemy Mine,Asimov's Science Fiction,,,,,,,,,,,
1980.0,Orson Scott Card,,Songhouse,Analog Science Fact & Fiction,,,,,,,,,,,
1980.0,Donald Kingsbury,,The Moon Goddess and the Son,Analog Science Fact & Fiction,,,,,,,,,,,
1980.0,Ted Reynolds,,Ker-Plop,Asimov's Science Fiction,,,,,,,,,,,
1980.0,Hilbert Schenck,,The Battle of the Abaco Reefs,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1979.0,John Varley,Winner,The Persistence of Vision,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1979.0,Joan D. Vinge,,Fireship,Analog Science Fact & Fiction,,,,,,,,,,,
1979.0,Christopher Priest,,The Watched,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1979.0,Brian Aldiss,,Enemies of the System,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1979.0,Gene Wolfe,,Seven American Nights,Orbit #20 (Putnam Publishing Group),,,,,,,,,,,
1978.0,Spider Robinson/Jeanne Robinson,Winner,Stardance,Analog Science Fact & Fiction,,,,,,,,,,,
1978.0,John Varley,,In the Hall of the Martian Kings,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1978.0,Vonda N. McIntyre,,Aztecs,2076: The American Tricentennial (Pyramid Books),,,,,,,,,,,
1978.0,Gregory Benford,,A Snark in the Night,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1978.0,Keith Laumer,,The Wonderful Secret,Analog Science Fact & Fiction,,,,,,,,,,,
1977.0,Spider Robinson,Winner,By Any Other Name,Analog Science Fact & Fiction,,,,,,,,,,,
1977.0,"James Tiptree, Jr.",Winner,"Houston, Houston, Do You Read?",Aurora: Beyond Equality (Fawcett Publications),,,,,,,,,,,
1977.0,Michael Bishop,,The Samurai and the Willows,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1977.0,Richard Cowper,,Piper at the Gates of Dawn,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1976.0,Roger Zelazny,Winner,Home Is the Hangman,Analog Science Fact & Fiction,,,,,,,,,,,
1976.0,George R. R. Martin/Lisa Tuttle,,The Storms of Windhaven,Analog Science Fact & Fiction,,,,,,,,,,,
1976.0,Larry Niven,,ARM,Epoch (Putnam Publishing Group),,,,,,,,,,,
1976.0,Algis Budrys,,The Silent Eyes of Time,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1976.0,Richard Cowper,,The Custodians,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1975.0,George R. R. Martin,Winner,A Song for Lya,Analog Science Fact & Fiction,,,,,,,,,,,
1975.0,Gardner Dozois,,Strangers,New Dimensions 4 (Doubleday),,,,,,,,,,,
1975.0,Robert Silverberg,,Born with the Dead,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1975.0,Norman Spinrad,,Riding the Torch,Threads of Time (Thomas Nelson),,,,,,,,,,,
1975.0,Jack Vance,,Assault on a City,Universe 4 (Bantam Spectra),,,,,,,,,,,
1974.0,"James Tiptree, Jr.",Winner,The Girl Who Was Plugged In,New Dimensions 3 (Doubleday),,,,,,,,,,,
1974.0,Gene Wolfe,,The Death of Doctor Island,Universe 3 (Bantam Spectra),,,,,,,,,,,
1974.0,Michael Bishop,,Death and Designation Among the Asadi,If,,,,,,,,,,,
1974.0,Michael Bishop,,The White Otters of Childhood,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1974.0,Gardner Dozois,,Chains of the Sea,Chains of the Sea (X-S Books),,,,,,,,,,,
1973.0,Ursula K. Le Guin,Winner,The Word for World Is Forest,"Again, Dangerous Visions (Doubleday)",,,,,,,,,,,
1973.0,Frederik Pohl,,The Gold at the Starbow's End,Analog Science Fact & Fiction,,,,,,,,,,,
1973.0,Gene Wolfe,,The Fifth Head of Cerberus,Orbit #10 (Putnam Publishing Group),,,,,,,,,,,
1973.0,Joe Haldeman,,Hero,Analog Science Fact & Fiction,,,,,,,,,,,
1973.0,Jerry Pournelle,,The Mercenary,Analog Science Fact & Fiction,,,,,,,,,,,
1972.0,Poul Anderson,Winner,The Queen of Air and Darkness,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1972.0,Arthur C. Clarke,,A Meeting with Medusa,Playboy,,,,,,,,,,,
1972.0,Larry Niven,,The Fourth Profession,Quark/4 (Paperback Library),,,,,,,,,,,
1972.0,John Brunner,,Dread Empire,Fantastic,,,,,,,,,,,
1972.0,Gardner Dozois,,A Special Kind of Morning,New Dimensions 1 (Doubleday),,,,,,,,,,,
1971.0,Fritz Leiber,Winner,Ill Met in Lankhmar,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1971.0,Clifford D. Simak,,The Thing in the Stone,If,,,,,,,,,,,
1971.0,Harlan Ellison,,The Region Between,Galaxy Science Fiction,,,,,,,,,,,
1971.0,Robert Silverberg,,The World Outside,Galaxy Science Fiction,,,,,,,,,,,
1971.0,Dean Koontz,,Beastchild,Venture Science Fiction Magazine,,,,,,,,,,,
1970.0,Fritz Leiber,Winner,Ship of Shadows,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1970.0,Harlan Ellison,,A Boy and His Dog,The Beast that Shouted Love at the Heart of the World (Avon Publications),,,,,,,,,,,
1970.0,James Blish,,We All Die Naked,Three for Tomorrow (Meredith Press),,,,,,,,,,,
1970.0,Anne McCaffrey,,Dramatic Mission,Analog Science Fact & Fiction,,,,,,,,,,,
1970.0,Robert Silverberg,,To Jorslem,Galaxy Science Fiction,,,,,,,,,,,
1969.0,Robert Silverberg,Winner,Nightwings,Galaxy Science Fiction,,,,,,,,,,,
1969.0,Anne McCaffrey,,Dragonrider,Analog Science Fact & Fiction,,,,,,,,,,,
1969.0,Samuel R. Delany,,Lines of Power,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1969.0,Dean McLaughlin,,Hawk Among the Sparrows,Analog Science Fact & Fiction,,,,,,,,,,,
1968.0,Philip José Farmer,Winner,Riders of the Purple Wage,Dangerous Visions (Doubleday),,,,,,,,,,,
1968.0,Anne McCaffrey,Winner,Weyr Search,Analog Science Fact & Fiction,,,,,,,,,,,
1968.0,Roger Zelazny,,Damnation Alley,Galaxy Science Fiction,,,,,,,,,,,
1968.0,Samuel R. Delany,,The Star Pit,Worlds of Tomorrow,,,,,,,,,,,
1968.0,Robert Silverberg,,Hawksbill Station,Galaxy Science Fiction,,,,,,,,,,,
1954.0,James Blish,Winner,A Case of Conscience,If,,,,,,,,,,,
1954.0,Poul Anderson,,Three Hearts and Three Lions,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1954.0,Theodore Sturgeon,,...And My Fear is Great...,Beyond Fantasy Fiction,,,,,,,,,,,
1954.0,Poul Anderson,,Un-Man,Astounding Science-Fiction,,,,,,,,,,,
1954.0,Charles L. Harness,,The Rose,Authentic Science Fiction,,,,,,,,,,,
1951.0,Robert A. Heinlein,Winner,The Man Who Sold the Moon,Shasta Publishers,,,,,,,,,,,
1951.0,Theodore Sturgeon,,The Dreaming Jewels,Fantastic Adventures,,,,,,,,,,,
1951.0,Isaac Asimov,,...And Now You Don't,Astounding Science-Fiction,,,,,,,,,,,
1951.0,H. Beam Piper,,Last Enemy,Astounding Science-Fiction,,,,,,,,,,,
1951.0,L. Ron Hubbard,,To the Stars,Astounding Science-Fiction,,,,,,,,,,,
1946.0,George Orwell,Winner,Animal Farm,Secker and Warburg,Read,,,,,,,,,,
1946.0,Isaac Asimov,,Dead Hand,Astounding Science-Fiction,,,,,,,,,,,
1946.0,A. Bertram Chandler,,Giant Killer,Astounding Science-Fiction,,,,,,,,,,,
1946.0,Richard S. Shaver,,I Remember Lemuria,Amazing Stories,,,,,,,,,,,
1945.0,Theodore Sturgeon,Winner,Killdozer!,Astounding Science-Fiction,,,,,,,,,,,
1945.0,A. E. van Vogt,,The Changeling,Astounding Science-Fiction,,,,,,,,,,,
1945.0,Henry Kuttner,,A God Named Kroo,Thrilling Wonder Stories,,,,,,,,,,,
1945.0,Ross Rocklynne,,Intruders from the Stars,Amazing Stories,,,,,,,,,,,
1945.0,Leigh Brackett,,The Jewel of Bas,Planet Stories,,,,,,,,,,,
1945.0,Murray Leinster,,Trog,Astounding Science-Fiction,,,,,,,,,,,
1944.0,Antoine de Saint-Exupéry,Winner,The Little Prince,Reynal & Hitchcock,Read,,,,,,,,,,
1944.0,Hal Clement,,Attitude,Astounding Science-Fiction,,,,,,,,,,,
1944.0,Henry Kuttner/C. L. Moore (as Lawrence O'Donnell),,Clash by Night,Astounding Science-Fiction,,,,,,,,,,,
1944.0,H. P. Lovecraft,,The Dream-Quest of Unknown Kadath,Beyond the Wall of Sleep (Arkham House),,,,,,,,,,,
1944.0,Mary Norton,,"The Magic Bed-Knob; or, How to Become a Witch in Ten Easy Lessons",Hyperion Press,,,,,,,,,,,
1944.0,Anthony Boucher,,We Print the Truth,Astounding Science-Fiction,,,,,,,,,,,
1943.0,Robert A. Heinlein (as Anson MacDonald),Winner,Waldo,Astounding Science Fiction,,,,,,,,,,,
1943.0,A. E. van Vogt,,Asylum,Astounding Science Fiction,,,,,,,,,,,
1943.0,Anthony Boucher,,The Compleat Werewolf,Unknown,,,,,,,,,,,
1943.0,Alfred Bester,,Hell is Forever,Unknown,,,,,,,,,,,
1943.0,Lester del Rey,,Nerves,Astounding Science Fiction,,,,,,,,,,,
1943.0,Robert A. Heinlein (as John Riverside),,The Unpleasant Profession of Jonathan Hoag,Unknown,,,,,,,,,,,
1941.0,Robert A. Heinlein,Winner,If This Goes On…,Astounding Science Fiction,,,,,,,,,,,
1941.0,Robert A. Heinlein,,Coventry,Astounding Science Fiction,,,,,,,,,,,
1941.0,Robert A. Heinlein,,"Magic, Inc.",Unknown,,,,,,,,,,,
1941.0,L. Sprague de Camp/Fletcher Pratt,,The Mathematics of Magic,Unknown,,,,,,,,,,,
1941.0,L. Sprague de Camp/Fletcher Pratt,,The Roaring Trumpet,Unknown,,,,,,,,,,,
1939.0,John W. Campbell (as Don A. Stuart),Winner,Who Goes There?,Astounding Science-Fiction,,,,,,,,,,,
1939.0,Ayn Rand,,Anthem,Cassell,,,,,,,,,,,
1939.0,H. L. Gold,,A Matter of Form,Astounding Science-Fiction,,,,,,,,,,,
1939.0,John Wyndham,,Sleepers of Mars,Tales of Wonder,,,,,,,,,,,
1939.0,Henry Kuttner,,The Time Trap,Marvel Science Stories,,,,,,,,,,,
